"combinations","n","pMax","pAvg","r2","rse1","rse2"
"blocking,free,timeComp2","3","0.2842013956121018","0.07343860036684845","0.5968400818327778","0.10187353069210268","0.10340554945147723"
"blocking,timeComp1,timeComp2","3","0.19116857559699507","0.0545955068220825","0.6031818315690188","0.10106911385564021","0.10258903544241807"
"delay,inverseBlocking,inverseDelay","3","0.22778553963079384","0.09555963426887937","0.6506239765074611","0.09483512753540405","0.09626129970637778"
"delay,inverseBlocking,centrality","3","0.9306444718876155","0.2389757417351648","0.6298701229490897","0.09761122324767539","0.09907914356147018"
"delay,inverseBlocking,creditHours","3","0.0016087143844433227","0.0004023020768955105","0.8051892036601197","0.07081564166210616","0.07188059828770293"
"delay,inverseBlocking,free","3","0.7086318711256736","0.17744883117469287","0.6313020048414727","0.09742223123436775","0.0988873094035172"
"delay,inverseBlocking,timeComp1","3","0.3554221187174469","0.08963752307514294","0.6388587215500388","0.09641869505879892","0.09786868161154676"
"delay,inverseBlocking,timeComp2","3","0.9872717634880369","0.25648829644374677","0.6297904322186225","0.09762173076343054","0.09908980909384793"
"delay,inverseDelay,centrality","3","0.9164924216468974","0.3457456850753211","0.5764869130619066","0.10441336717076044","0.105983581103156"
"delay,inverseDelay,creditHours","3","0.22526140342856113","0.06295751131367157","0.7025949670554124","0.08749774101551373","0.08881357035536261"
"delay,inverseDelay,free","3","0.9915307848263285","0.44976363507705613","0.3921119670070602","0.12509342422236114","0.1269746339073604"
"delay,inverseDelay,timeComp1","3","0.9049879839902011","0.36662583623990014","0.47059042006667373","0.11673970237216458","0.11849528513034438"
"delay,inverseDelay,timeComp2","3","0.44756873873220726","0.2873566998494751","0.39916391083880365","0.12436572018620286","0.12623598633928473"
"delay,centrality,creditHours","3","0.0481489810157552","0.012037252892105913","0.8210273209847143","0.06787597067309896","0.0688967192392425"
"delay,centrality,free","3","0.6422325935654356","0.20596989449014497","0.5725929974169225","0.10489227393731977","0.10646968987935784"
"delay,centrality,timeComp1","3","0.8355571648222079","0.28841664349961693","0.5704242065034233","0.10515806456755411","0.10673947758546477"
"delay,centrality,timeComp2","3","0.42560230090454393","0.158613161749662","0.5777631263255021","0.10425592898721973","0.10582377529527767"
"delay,creditHours,free","3","0.5249434766529629","0.1312607687335245","0.6635699921011056","0.09306149964669964","0.09446099922490876"
"delay,creditHours,timeComp1","3","0.13652891429568662","0.03439584462963361","0.7412307531310178","0.0816166969458389","0.08284408456998164"
"delay,creditHours,timeComp2","3","0.9231214177700652","0.315157931295093","0.6596639486591533","0.09360017521491733","0.09500777563217776"
"delay,free,timeComp1","3","0.6438112697223226","0.2215470480151731","0.473678088864836","0.11639877480342245","0.11814923054355005"
"delay,free,timeComp2","3","0.27098996342060744","0.11092158867476981","0.43465006502617953","0.12063723013377944","0.12245142562095186"
"delay,timeComp1,timeComp2","3","0.39127980095706577","0.14572212220514139","0.4815751085034078","0.11552224138109544","0.11725951542783222"
"inverseBlocking,inverseDelay,centrality","3","0.5782863834925882","0.14925879942104056","0.63895785508801","0.09640546065031386","0.09785524817823228"
"inverseBlocking,inverseDelay,creditHours","3","0.032478140091300414","0.008179110514038362","0.7780346924177786","0.0755901547327966","0.0767269125764476"
"inverseBlocking,inverseDelay,free","3","0.7286667241111007","0.18236674154352847","0.6369614155418721","0.09667163779863569","0.09812542821505495"
"inverseBlocking,inverseDelay,timeComp1","3","0.33618681233799586","0.08455426860130218","0.6453248799300618","0.09555161812705316","0.09698856519725603"
"inverseBlocking,inverseDelay,timeComp2","3","0.4074791513714148","0.10617543327045795","0.6428833426461256","0.09587993651144476","0.0973218209772647"
"inverseBlocking,centrality,creditHours","3","0.19898841440981135","0.04997573688804855","0.8097065657475936","0.06998977313870396","0.07104230999184333"
"inverseBlocking,centrality,free","3","0.9638948687115753","0.4560437402274736","0.5501824301837148","0.10760709106295024","0.10922533361359292"
"inverseBlocking,centrality,timeComp1","3","0.2416972996702566","0.12986604484173508","0.5747187901439929","0.10463109760993043","0.10620458586800244"
"inverseBlocking,centrality,timeComp2","3","0.6320841108526445","0.2107036557207444","0.5860318646795508","0.10323005064364514","0.1047824693439966"
"inverseBlocking,creditHours,free","3","0.7961107193934116","0.19902768951932565","0.7486733457988078","0.08043442447367785","0.08164403256673203"
"inverseBlocking,creditHours,timeComp1","3","0.5232605733057298","0.14473128451850215","0.7511619604652915","0.08003520642248943","0.08123881089969416"
"inverseBlocking,creditHours,timeComp2","3","0.0006688731667282159","0.0001672341477842923","0.8121314450957586","0.06954240905298119","0.07058821824912329"
"inverseBlocking,free,timeComp1","3","0.3640246889384852","0.1125518858541243","0.5564396913204775","0.10685602691416296","0.10846297463328641"
"inverseBlocking,free,timeComp2","3","0.2842013956121018","0.07343860036684845","0.5968400818327778","0.10187353069210268","0.10340554945147723"
"inverseBlocking,timeComp1,timeComp2","3","0.19116857559699507","0.0545955068220825","0.6031818315690188","0.10106911385564021","0.10258903544241807"
"inverseDelay,centrality,creditHours","3","0.11519725136876166","0.02879977911486726","0.8140445933702611","0.06918741247184633","0.07022788307396781"
"inverseDelay,centrality,free","3","0.6153359919319605","0.18477392110084684","0.5794727216678","0.10404465393958379","0.10560932300096963"
"inverseDelay,centrality,timeComp1","3","0.7245876897715441","0.23198878047250732","0.5778911526142112","0.10424012208779614","0.10580773068477958"
"inverseDelay,centrality,timeComp2","3","0.4984997604669686","0.16558255813980854","0.5819824926889778","0.103733712115876","0.10529370509797258"
"inverseDelay,creditHours,free","3","0.6950156201418767","0.1737563818704455","0.6911282643682932","0.08916856305855085","0.09050951895184416"
"inverseDelay,creditHours,timeComp2","3","0.2526988434537626","0.06723200523841165","0.701228631333846","0.08769850139278793","0.08901734985509219"
"inverseDelay,free,timeComp1","3","0.7077657147600628","0.2620554648090248","0.4671560117412369","0.11711774962145023","0.11887901761969093"
"inverseDelay,free,timeComp2","3","0.83417932391069","0.32352069949064166","0.4152552292134869","0.12268906512216458","0.12453411700227825"
"inverseDelay,timeComp1,timeComp2","3","0.8026094374937945","0.30263178761772774","0.46593532857234954","0.11725182440158145","0.11901510867506974"
"centrality,creditHours,free","3","0.7656858838873011","0.19142147098717546","0.8009928119613816","0.07157429277085663","0.07265065832399849"
"centrality,creditHours,timeComp1","3","0.1971507025692022","0.049310999971193745","0.8097789911171144","0.06997645287463232","0.07102878941180836"
