"name","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7"
"7760.json","29","8","21","2.0","4","53","47","6","0.012","0.07916666666666666","0.221","0.3965","0.5668333333333333"
"77601.json","37","12","25","4.0","4","63","55","8","0.0025","0.037333333333333336","0.13766666666666666","0.28933333333333333","0.4568333333333333"
"77741.json","45","18","27","6.999999999999999","3","78","63","11","0.002","0.020833333333333332","0.08466666666666667","0.20383333333333334","0.3641666666666667"
"77849.json","31","10","21","4.0","5","55","49","6","0.0095","0.06533333333333333","0.18133333333333335","0.3466666666666667","0.5055"
"77913.json","33","11","22","4.0","5","59","51","7","0.007","0.060833333333333336","0.173","0.33516666666666667","0.5043333333333333"
"77940.json","34","11","23","4.0","4","62","52","7","0.007","0.05633333333333333","0.168","0.3325","0.5011666666666666"
"77967.json","36","12","24","4.0","4","67","54","8","0.0045","0.04533333333333334","0.15116666666666667","0.30866666666666664","0.4815"
"78026.json","32","10","22","3.0","5","58","50","7","0.008333333333333333","0.06266666666666666","0.19583333333333333","0.35183333333333333","0.5355"
"78075.json","40","16","24","6.0","4","73","58","10","0.004166666666666667","0.03983333333333333","0.13366666666666666","0.27016666666666667","0.42633333333333334"
"78101.json","35","11","24","4.0","4","65","53","7","0.004833333333333334","0.044333333333333336","0.14783333333333334","0.312","0.4806666666666667"
"78111.json","38","14","24","5.0","4","70","56","9","0.003833333333333333","0.041","0.14","0.28633333333333333","0.44616666666666666"
"78255.json","39","15","24","5.0","4","72","57","10","0.007333333333333333","0.041166666666666664","0.1335","0.2675","0.43483333333333335"
"78260.json","34","12","22","4.0","5","61","52","8","0.008333333333333333","0.056666666666666664","0.1705","0.3248333333333333","0.4955"
"7827.json","35","12","23","3.9999999999999996","4","62","53","8","0.005833333333333334","0.046","0.1465","0.29933333333333334","0.4638333333333333"
"78299.json","37","14","23","4.0","4","68","55","10","0.005166666666666667","0.04783333333333333","0.14933333333333335","0.3065","0.476"
"78320.json","34","12","22","4.0","4","62","52","8","0.010833333333333334","0.07266666666666667","0.202","0.3705","0.5386666666666666"
"78340.json","26","7","19","2.0","6","43","44","5","0.013166666666666667","0.09216666666666666","0.24633333333333332","0.43716666666666665","0.61"
"78341.json","31","10","21","4.0","5","53","49","6","0.0105","0.0715","0.19533333333333333","0.35633333333333334","0.5341666666666667"
"78414.json","40","14","26","6.0","4","70","58","8","0.0028333333333333335","0.028833333333333332","0.109","0.25266666666666665","0.418"
"78490.json","37","13","24","5.0","5","63","55","8","0.005","0.041833333333333333","0.13733333333333334","0.28683333333333333","0.44733333333333336"
"78497.json","36","11","25","4.0","4","63","54","7","0.0023333333333333335","0.04016666666666667","0.13766666666666666","0.292","0.466"
"78504.json","34","11","23","4.0","4","60","52","7","0.0095","0.06433333333333334","0.17783333333333334","0.3343333333333333","0.5041666666666667"
"78517.json","42","16","26","7.0","4","73","60","9","0.004833333333333334","0.02666666666666667","0.108","0.23583333333333334","0.388"
"78548.json","37","12","25","4.0","4","65","55","8","0.0045","0.03966666666666667","0.138","0.2876666666666667","0.4651666666666667"
"78574.json","43","17","26","7.0","4","75","61","10","0.0028333333333333335","0.026","0.09916666666666667","0.22583333333333333","0.381"
"787.json","27","7","20","2.0","5","54","45","5","0.012166666666666666","0.0755","0.21916666666666668","0.4008333333333333","0.585"
"78807.json","44","18","26","7.0","4","77","62","11","0.0033333333333333335","0.028","0.10266666666666667","0.2335","0.3913333333333333"
"78875.json","37","14","23","6.0","5","62","55","8","0.006166666666666667","0.0425","0.13716666666666666","0.2798333333333333","0.43366666666666664"
"78897.json","39","14","25","7.0","4","67","57","7","0.0025","0.0345","0.12866666666666668","0.26616666666666666","0.42716666666666664"
"79028.json","38","14","24","6.0","5","64","56","8","0.0033333333333333335","0.03916666666666667","0.12283333333333334","0.2695","0.43433333333333335"
"79059.json","37","13","24","4.0","5","64","55","9","0.004333333333333333","0.043666666666666666","0.14616666666666667","0.2946666666666667","0.46366666666666667"
"79071.json","44","18","26","7.0","4","77","62","11","0.0026666666666666666","0.028166666666666666","0.10816666666666666","0.2415","0.4018333333333333"
"79075.json","40","14","26","5.0","4","71","58","9","0.0028333333333333335","0.0285","0.12083333333333333","0.2643333333333333","0.43"
"79094.json","41","16","25","6.0","4","71","59","10","0.003833333333333333","0.0345","0.11616666666666667","0.25083333333333335","0.418"
"79146.json","41","15","26","7.0","4","71","59","8","0.003","0.03133333333333333","0.10666666666666667","0.25016666666666665","0.4135"
"79167.json","46","20","26","9.0","4","79","64","11","0.0033333333333333335","0.024166666666666666","0.091","0.20566666666666666","0.3591666666666667"
"79211.json","43","17","26","7.0","4","75","61","10","0.0025","0.026833333333333334","0.09783333333333333","0.233","0.39166666666666666"
"79306.json","38","13","25","4.0","4","67","56","9","0.004333333333333333","0.041166666666666664","0.14516666666666667","0.293","0.4666666666666667"
"79393.json","35","12","23","5.0","5","58","53","7","0.004333333333333333","0.043333333333333335","0.14066666666666666","0.2986666666666667","0.46116666666666667"
"79394.json","35","12","23","5.0","5","58","53","7","0.004","0.04033333333333333","0.1495","0.31133333333333335","0.4776666666666667"
"79396.json","31","10","21","3.0","6","50","49","7","0.006166666666666667","0.05533333333333333","0.16983333333333334","0.33616666666666667","0.5088333333333334"
"79428.json","30","9","21","2.0","5","51","48","7","0.012833333333333334","0.08266666666666667","0.23283333333333334","0.4093333333333333","0.5906666666666667"
"7943.json","38","14","24","6.0","3","68","56","8","0.0033333333333333335","0.04","0.13816666666666666","0.2895","0.45"
"79579.json","41","17","24","6.0","5","69","59","11","0.005666666666666667","0.035833333333333335","0.11466666666666667","0.25116666666666665","0.40016666666666667"
"79655.json","43","17","26","7.0","4","74","61","10","0.0031666666666666666","0.0285","0.10183333333333333","0.23766666666666666","0.3933333333333333"
"79836.json","45","19","26","8.0","4","77","63","11","0.0028333333333333335","0.03","0.10433333333333333","0.2325","0.385"
"79840.json","35","12","23","3.0","4","60","53","9","0.007166666666666667","0.059666666666666666","0.1795","0.3565","0.5266666666666666"
"79868.json","47","21","26","9.0","4","80","65","12","0.0033333333333333335","0.025166666666666667","0.09483333333333334","0.22083333333333333","0.37583333333333335"
"79903.json","39","14","25","5.0","3","70","57","9","0.0021666666666666666","0.036","0.12333333333333334","0.2623333333333333","0.43516666666666665"
