"name","credits","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"205.json","18","95.0","23","7","16","17","7","44","10","34","35","10","2","5","0.78","0.97","1.0","1.0","1.0","3.2576"
"206.json","18","95.0","23","7","16","17","7","44","10","34","35","10","2","5","0.77","0.97","1.0","1.0","1.0","3.26124144"
"207.json","18","95.0","24","8","16","20","8","46","12","34","42","12","2","6","0.78","0.97","1.0","1.0","0.0","3.2516"
"208.json","18","95.0","13","3","10","6","3","21","3","18","9","3","4","3","0.98","1.0","1.0","0.0","0.0","2.2875664563128"
"209.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.82","0.98","1.0","1.0","1.0","3.1985"
"21.json","18","95.0","17","4","13","9","4","32","6","26","19","6","4","3","0.85","0.99","1.0","1.0","0.0","3.1676"
"210.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.81","0.98","1.0","1.0","0.0","3.2084397"
"211.json","18","95.0","26","9","17","22","9","45","11","34","43","11","2","5","0.77","0.97","1.0","1.0","1.0","3.264"
"212.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.85","0.98","1.0","1.0","1.0","3.1638"
"213.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.77","0.97","1.0","1.0","1.0","3.26"
"214.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.73","0.97","1.0","1.0","1.0","3.2997"
"215.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.73","0.96","1.0","1.0","1.0","3.308860452116"
"216.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.85","0.98","1.0","1.0","0.0","3.163"
"217.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.73","0.97","1.0","1.0","1.0","3.3031"
"218.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.77","0.98","1.0","1.0","1.0","3.253"
"219.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.73","0.96","1.0","1.0","1.0","3.3088612399999997"
"22.json","18","95.0","18","4","14","9","4","35","6","29","19","6","3","3","0.85","0.98","1.0","1.0","0.0","3.1726"
"220.json","18","95.0","23","7","16","16","7","42","9","33","31","9","2","5","0.8","0.98","1.0","1.0","0.0","3.2206"
"221.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.74","0.97","1.0","1.0","1.0","3.3022"
"222.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.73","0.97","1.0","1.0","1.0","3.31164412"
"223.json","18","95.0","29","11","18","28","11","51","15","36","57","15","2","7","0.73","0.96","1.0","1.0","1.0","3.3194632383999183"
"224.json","18","95.0","13","3","10","6","3","21","3","18","9","3","4","3","0.98","1.0","1.0","0.0","0.0","2.284544952783564"
"225.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.85","0.98","1.0","1.0","1.0","3.171431206345296"
"226.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.85","0.98","1.0","1.0","0.0","3.1686569089905565"
"227.json","18","95.0","23","7","16","16","7","42","9","33","31","9","2","5","0.81","0.98","1.0","1.0","1.0","3.218862328824"
"228.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.82","0.98","1.0","1.0","0.0","3.2028337313817983"
"229.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.78","0.97","1.0","1.0","1.0","3.247252"
"23.json","18","95.0","21","6","15","14","6","41","9","32","30","9","3","4","0.81","0.98","1.0","1.0","0.0","3.2156"
"230.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.72","0.97","1.0","1.0","1.0","3.3126606200000004"
"231.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.73","0.97","1.0","1.0","1.0","3.3028405667462764"
"232.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.81","0.98","1.0","1.0","0.0","3.2154"
"233.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.72","0.96","1.0","1.0","1.0","3.3224625321240002"
"234.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.77","0.97","1.0","1.0","1.0","3.2546"
"235.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.74","0.97","1.0","1.0","1.0","3.2978"
"236.json","18","95.0","26","9","17","22","9","45","11","34","43","11","2","5","0.78","0.97","1.0","1.0","0.0","3.25725092"
"237.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.74","0.96","1.0","1.0","1.0","3.3006617720904234"
"238.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.73","0.97","1.0","1.0","1.0","3.313651450184"
"239.json","18","95.0","29","11","18","28","11","51","15","36","57","15","2","7","0.73","0.96","0.99","1.0","0.0","3.31246389264768"
"24.json","18","95.0","12","2","10","4","2","23","3","20","8","3","4","2","0.98","1.0","1.0","0.0","0.0","2.2825"
"240.json","18","95.0","14","4","10","8","4","22","4","18","12","4","4","4","0.98","1.0","1.0","0.0","0.0","2.2854"
"241.json","18","95.0","22","7","15","16","7","36","8","28","29","8","3","5","0.81","0.98","1.0","1.0","0.0","3.217843772465765"
"242.json","18","95.0","22","7","15","16","7","36","8","28","29","8","3","5","0.81","0.98","1.0","1.0","0.0","3.21205708"
"243.json","18","95.0","27","10","17","24","10","46","12","34","46","12","2","6","0.77","0.97","1.0","1.0","1.0","3.2612"
"244.json","18","95.0","22","7","15","16","7","36","8","28","29","8","3","5","0.81","0.98","1.0","1.0","1.0","3.2124"
"245.json","18","95.0","24","8","16","20","8","40","10","30","38","10","3","6","0.77","0.97","1.0","1.0","0.0","3.264"
"246.json","18","95.0","28","10","18","24","10","48","12","36","46","12","2","6","0.73","0.96","1.0","1.0","1.0","3.3160609092229936"
"247.json","18","95.0","29","11","18","28","11","50","14","36","55","14","2","7","0.73","0.96","1.0","1.0","1.0","3.316462492778529"
"248.json","18","95.0","22","7","15","16","7","36","8","28","29","8","3","5","0.81","0.98","1.0","1.0","1.0","3.2116"
"249.json","18","95.0","28","10","18","24","10","48","12","36","46","12","2","6","0.73","0.96","1.0","1.0","1.0","3.31305224"
"25.json","18","95.0","18","4","14","9","4","35","6","29","19","6","3","3","0.86","0.98","1.0","1.0","0.0","3.156"
"250.json","18","95.0","24","8","16","20","8","40","10","30","38","10","3","6","0.77","0.97","1.0","1.0","0.0","3.2622"
"251.json","18","95.0","29","11","18","28","11","50","14","36","55","14","2","7","0.72","0.96","1.0","1.0","1.0","3.3219979500776753"
"252.json","18","95.0","27","10","17","24","10","46","12","34","46","12","2","6","0.77","0.98","1.0","1.0","0.0","3.2536"
"253.json","18","95.0","29","11","18","28","11","50","14","36","55","14","2","7","0.73","0.96","1.0","1.0","1.0","3.3056632924985556"
"254.json","18","95.0","29","11","18","28","11","50","14","36","55","14","2","7","0.73","0.96","1.0","1.0","1.0","3.30945072"
"255.json","18","95.0","30","12","18","32","12","52","16","36","64","16","2","8","0.73","0.96","1.0","1.0","1.0","3.3207924306542176"
"26.json","18","95.0","17","4","13","9","4","32","6","26","19","6","4","3","0.85","0.98","1.0","1.0","0.0","3.1736326"
"27.json","18","95.0","21","6","15","14","6","41","9","32","30","9","3","4","0.81","0.98","1.0","1.0","1.0","3.2148"
"28.json","18","95.0","14","3","11","6","3","28","5","23","13","5","3","3","0.98","1.0","1.0","0.0","0.0","2.2882"
"29.json","18","95.0","19","5","14","11","5","37","8","29","24","8","3","4","0.85","0.98","1.0","1.0","1.0","3.168"
"3.json","18","95.0","11","2","9","4","2","24","4","20","10","4","4","2","0.87","0.99","1.0","1.0","0.0","3.1444"
"30.json","18","95.0","19","5","14","11","5","37","8","29","24","8","3","4","0.86","0.99","1.0","1.0","0.0","3.1540336"
"31.json","18","95.0","22","7","15","16","7","43","11","32","35","11","3","5","0.8","0.97","1.0","1.0","0.0","3.2284"
"32.json","18","95.0","9","1","8","2","1","16","1","15","3","1","5","1","0.98","1.0","1.0","0.0","0.0","2.28923276"
"33.json","18","95.0","12","2","10","4","2","23","3","20","8","3","4","2","0.98","1.0","1.0","0.0","0.0","2.2763"
"34.json","18","95.0","12","2","10","4","2","23","3","20","8","3","4","2","0.98","1.0","1.0","0.0","0.0","2.28805994"
"35.json","18","95.0","14","3","11","6","3","28","5","23","13","5","3","3","0.98","1.0","1.0","0.0","0.0","2.29144568"
"36.json","18","95.0","15","3","12","7","3","28","4","24","14","4","4","2","0.85","0.99","1.0","1.0","0.0","3.165242411416"
"37.json","18","95.0","17","4","13","9","4","32","6","26","19","6","4","3","0.85","0.98","1.0","1.0","1.0","3.1693"
"38.json","18","95.0","18","4","14","9","4","35","6","29","19","6","3","3","0.85","0.98","1.0","1.0","1.0","3.170633048482283"
"39.json","18","95.0","19","5","14","11","5","37","8","29","24","8","3","4","0.85","0.98","1.0","1.0","0.0","3.17103386"
"4.json","18","95.0","9","1","8","2","1","19","2","17","5","2","5","1","0.98","1.0","0.0","0.0","0.0","2.2836"
"40.json","18","95.0","15","3","12","7","3","28","4","24","14","4","4","2","0.86","0.99","1.0","1.0","0.0","3.1576"
"41.json","18","95.0","18","4","14","9","4","35","6","29","19","6","3","3","0.86","0.98","1.0","1.0","0.0","3.159257611988"
"42.json","18","95.0","17","4","13","9","4","32","6","26","19","6","4","3","0.86","0.99","1.0","1.0","1.0","3.16083152"
"43.json","18","95.0","19","5","14","11","5","37","8","29","24","8","3","4","0.85","0.99","1.0","1.0","0.0","3.1698318515223973"
"44.json","18","95.0","19","5","14","12","5","37","7","30","25","7","3","3","0.82","0.98","1.0","1.0","0.0","3.2046"
"45.json","18","95.0","21","6","15","14","6","41","9","32","30","9","3","4","0.8","0.98","1.0","1.0","0.0","3.2222339663703043"
"46.json","18","95.0","21","6","15","14","6","41","9","32","30","9","3","4","0.81","0.98","1.0","1.0","0.0","3.20964092"
"47.json","18","95.0","22","7","15","16","7","43","11","32","35","11","3","5","0.81","0.98","1.0","1.0","0.0","3.218457846552"
"48.json","18","95.0","11","2","9","4","2","19","2","17","6","2","4","2","0.98","1.0","1.0","0.0","0.0","2.2940582891359997"
"49.json","18","95.0","17","4","13","9","4","31","5","26","17","5","3","3","0.86","0.99","1.0","1.0","0.0","3.1552"
"5.json","18","95.0","11","2","9","4","2","23","4","19","10","4","5","2","0.89","0.99","1.0","1.0","0.0","3.1134"
"50.json","18","95.0","17","4","13","9","4","31","5","26","17","5","3","3","0.86","0.98","1.0","1.0","1.0","3.159662730290037"
"51.json","18","95.0","21","6","15","14","6","40","8","32","28","8","2","4","0.81","0.98","1.0","1.0","1.0","3.21144296"
"52.json","18","95.0","17","4","13","9","4","31","5","26","17","5","3","3","0.85","0.99","1.0","1.0","1.0","3.1633"
"53.json","18","95.0","19","5","14","12","5","35","7","28","24","7","3","4","0.82","0.98","1.0","1.0","0.0","3.205843568754493"
"54.json","18","95.0","22","6","16","14","6","42","8","34","28","8","2","4","0.77","0.97","1.0","1.0","1.0","3.259"
"55.json","18","95.0","23","7","16","17","7","44","10","34","35","10","2","5","0.77","0.97","1.0","1.0","1.0","3.2593"
"56.json","18","95.0","17","4","13","9","4","31","5","26","17","5","3","3","0.84","0.98","1.0","1.0","0.0","3.18"
"57.json","18","95.0","22","6","16","14","6","42","8","34","28","8","2","4","0.76","0.97","1.0","1.0","1.0","3.2736"
"58.json","18","95.0","19","5","14","12","5","35","7","28","24","7","3","4","0.81","0.98","1.0","1.0","1.0","3.2158"
"59.json","18","95.0","23","7","16","17","7","44","10","34","35","10","2","5","0.77","0.97","1.0","1.0","1.0","3.2662494504"
"6.json","18","95.0","12","2","10","4","2","26","4","22","10","4","4","2","0.9","0.99","1.0","1.0","1.0","3.1122"
"60.json","18","95.0","21","6","15","14","6","40","8","32","28","8","2","4","0.8","0.98","1.0","1.0","1.0","3.2222"
"61.json","18","95.0","23","7","16","17","7","44","10","34","35","10","2","5","0.78","0.97","1.0","1.0","1.0","3.2502"
"62.json","18","95.0","23","7","16","17","7","44","10","34","35","10","2","5","0.78","0.98","1.0","1.0","1.0","3.24964444"
"63.json","18","95.0","24","8","16","20","8","46","12","34","42","12","2","6","0.78","0.97","1.0","1.0","1.0","3.2569"
"64.json","18","95.0","9","1","8","2","1","16","1","15","3","1","5","1","0.98","1.0","1.0","1.0","0.0","2.274"
"65.json","18","95.0","15","3","12","7","3","28","4","24","14","4","4","2","0.86","0.99","1.0","1.0","0.0","3.157232166304"
"66.json","18","95.0","15","3","12","7","3","28","4","24","14","4","4","2","0.86","0.99","1.0","1.0","1.0","3.1601"
"67.json","18","95.0","19","5","14","12","5","37","7","30","25","7","3","3","0.81","0.98","1.0","1.0","0.0","3.214449928888"
"68.json","18","95.0","12","2","10","4","2","23","3","20","8","3","4","2","0.98","1.0","1.0","1.0","0.0","2.2846605681133494"
"69.json","18","95.0","17","4","13","9","4","32","6","26","19","6","4","3","0.85","0.98","1.0","1.0","1.0","3.17023104"
"7.json","18","95.0","13","3","10","6","3","28","6","22","15","6","4","3","0.86","0.99","1.0","1.0","0.0","3.154"
"70.json","18","95.0","18","4","14","9","4","35","6","29","19","6","3","3","0.85","0.99","1.0","1.0","0.0","3.1636340462079997"
"71.json","18","95.0","21","6","15","14","6","41","9","32","30","9","3","4","0.81","0.98","1.0","1.0","1.0","3.211056932113623"
"72.json","18","95.0","12","2","10","4","2","23","3","20","8","3","4","2","0.98","1.0","1.0","0.0","0.0","2.292"
"73.json","18","95.0","18","4","14","9","4","35","6","29","19","6","3","3","0.85","0.99","1.0","1.0","0.0","3.1636327268092415"
"74.json","18","95.0","17","4","13","9","4","32","6","26","19","6","4","3","0.86","0.99","1.0","1.0","1.0","3.1562584"
"75.json","18","95.0","21","6","15","14","6","41","9","32","30","9","3","4","0.81","0.98","1.0","1.0","0.0","3.2086428899857777"
"76.json","18","95.0","14","3","11","6","3","28","5","23","13","5","3","3","0.98","1.0","1.0","0.0","0.0","2.2852"
"77.json","18","95.0","19","5","14","11","5","37","8","29","24","8","3","4","0.85","0.98","1.0","1.0","1.0","3.174432726545362"
"78.json","18","95.0","19","5","14","11","5","37","8","29","24","8","3","4","0.85","0.98","1.0","1.0","0.0","3.16785704"
"79.json","18","95.0","22","7","15","16","7","43","11","32","35","11","3","5","0.82","0.98","1.0","1.0","1.0","3.1973"
"8.json","18","95.0","9","1","8","2","1","19","2","17","5","2","5","1","0.98","1.0","1.0","0.0","0.0","2.2905"
"80.json","18","95.0","11","2","9","4","2","18","2","16","6","2","5","2","0.98","1.0","1.0","1.0","0.0","2.27863266"
"81.json","18","95.0","19","5","14","12","5","32","6","26","23","6","4","3","0.81","0.98","1.0","1.0","0.0","3.21783946"
"82.json","18","95.0","19","5","14","12","5","32","6","26","23","6","4","3","0.81","0.98","1.0","1.0","0.0","3.2120518"
"83.json","18","95.0","24","8","16","20","8","42","10","32","40","10","3","4","0.77","0.97","1.0","1.0","1.0","3.2637"
"84.json","18","95.0","14","3","11","6","3","25","4","21","11","4","4","3","0.98","1.0","1.0","0.0","0.0","2.2933"
"85.json","18","95.0","21","6","15","14","6","36","8","28","28","8","4","4","0.8","0.97","1.0","1.0","0.0","3.2268417285779973"
"86.json","18","95.0","22","6","16","14","6","39","8","31","28","8","3","4","0.8","0.98","1.0","1.0","0.0","3.2228586600000004"
"87.json","18","95.0","26","9","17","22","9","46","12","34","45","12","3","5","0.78","0.97","1.0","1.0","1.0","3.2532626104479996"
"88.json","18","95.0","14","3","11","6","3","25","4","21","11","4","4","3","0.98","1.0","1.0","1.0","0.0","2.2897669365608175"
"89.json","18","95.0","22","6","16","14","6","39","8","31","28","8","3","4","0.81","0.98","1.0","1.0","1.0","3.2160453683457155"
"9.json","18","95.0","12","2","10","4","2","26","4","22","10","4","4","2","0.9","0.99","1.0","1.0","0.0","3.1077"
"90.json","18","95.0","21","6","15","14","6","36","8","28","28","8","4","4","0.82","0.98","1.0","1.0","1.0","3.206443209073669"
"91.json","18","95.0","26","9","17","22","9","46","12","34","45","12","3","5","0.76","0.97","1.0","1.0","1.0","3.2800506525220894"
"92.json","18","95.0","16","4","12","8","4","30","6","24","16","6","3","4","0.97","1.0","1.0","1.0","0.0","2.3016"
"93.json","18","95.0","23","7","16","16","7","41","10","31","33","10","3","5","0.8","0.97","1.0","1.0","1.0","3.229843567892"
"94.json","18","95.0","23","7","16","16","7","41","10","31","33","10","3","5","0.8","0.98","1.0","1.0","0.0","3.2180603199999998"
"95.json","18","95.0","27","10","17","24","10","48","14","34","50","14","3","6","0.78","0.97","1.0","1.0","1.0","3.250656010130504"
"96.json","18","95.0","12","2","10","4","2","20","2","18","6","2","4","2","0.98","1.0","1.0","0.0","0.0","2.2952"
