"name","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD","inverseComplexity","inverseDelay","inverseBlocking","centrality"
"191.json",29,11,18,4.0,2,51,41,7,0.0155,0.0788,0.1975,0.3536,0.5158,7.8042,29,18,11,"28.0"
"192.json",11,2,9,0.0,4,19,23,2,0.1395,0.3682,0.5857,0.7485,0.8517,5.476881886213914,10,8,2,"4.0"
"193.json",17,4,13,1.0,3,31,29,3,0.0646,0.2223,0.4115,0.5897,0.7295,6.4208,16,12,4,"9.0"
"194.json",17,4,13,1.0,3,31,29,3,0.0645,0.2202,0.4189,0.6011,0.7365,6.3822,16,12,4,"9.0"
"195.json",21,6,15,2.0,2,40,33,4,0.0374,0.1607,0.331,0.505,0.6556,6.8921,18,12,6,"14.0"
"196.json",17,4,13,1.0,3,31,29,3,0.0679,0.2259,0.4213,0.6006,0.7388,6.3552,16,12,4,"9.0"
"197.json",19,5,14,1.0,3,35,31,4,0.045,0.1721,0.3524,0.5225,0.6757,6.7854,19,14,5,"12.0"
"198.json",22,6,16,2.0,2,42,34,4,0.0255,0.1312,0.2906,0.4691,0.6305,7.08798921,20,14,6,"14.0"
"199.json",23,7,16,2.0,2,44,35,5,0.0286,0.1271,0.2841,0.4516,0.6093,7.2021,21,14,7,"17.0"
"2.json",9,1,8,0.0,5,19,21,1,0.1228,0.3398,0.565,0.7364,0.8471,5.5719,9,8,1,"2.0"
"20.json",12,2,10,0.0,4,23,24,2,0.1377,0.3487,0.5647,0.7316,0.8396,5.5614,12,10,2,"4.0"
"200.json",17,4,13,1.0,3,31,29,3,0.0665,0.2239,0.4157,0.5967,0.7346,6.3844,16,12,4,"9.0"
"201.json",22,6,16,2.0,2,42,34,4,0.0285,0.1314,0.2982,0.4701,0.625,7.119,20,14,6,"14.0"
"202.json",19,5,14,1.0,3,35,31,4,0.0445,0.1752,0.3508,0.528,0.6714,6.7821087989210005,19,14,5,"12.0"
"203.json",23,7,16,2.0,2,44,35,5,0.0263,0.122,0.2857,0.4527,0.608,7.2468,21,14,7,"17.0"
"204.json",21,6,15,2.0,2,40,33,4,0.0408,0.1512,0.3302,0.508,0.6576,6.928,18,12,6,"14.0"
"205.json",23,7,16,2.0,2,44,35,5,0.0286,0.1237,0.2792,0.4614,0.61,7.2297,21,14,7,"17.0"
"206.json",23,7,16,2.0,2,44,35,5,0.0263,0.1211,0.2724,0.4441,0.6038,7.2332,21,14,7,"17.0"
