"name","complexity","completionRate","term","credits"
"Accounting - 74.json",300.0,0.71,12.0,181.0
"Accounting - 74.json",300.0,0.65,12.0,181.0
"Accounting - 74.json",300.0,0.64,12.0,181.0
"Accounting - 74.json",300.0,0.73,12.0,181.0
"Accounting - 74.json",300.0,0.68,12.0,181.0
"Accounting - 74.json",300.0,0.74,12.0,181.0
"Accounting - 74.json",300.0,0.66,12.0,181.0
"Accounting - 74.json",300.0,0.62,12.0,181.0
"Accounting - 74.json",300.0,0.62,12.0,181.0
"Accounting - 74.json",300.0,0.65,12.0,181.0
"Accounting - 74.json",300.0,0.61,12.0,181.0
"Accounting - 74.json",300.0,0.69,12.0,181.0
"Accounting - 74.json",300.0,0.65,12.0,181.0
"Accounting - 74.json",300.0,0.64,12.0,181.0
"Accounting - 74.json",300.0,0.58,12.0,181.0
"Accounting - 74.json",300.0,0.64,12.0,181.0
"Accounting - 74.json",300.0,0.7,12.0,181.0
"Accounting - 74.json",300.0,0.69,12.0,181.0
"Accounting - 74.json",300.0,0.6,12.0,181.0
"Accounting - 74.json",300.0,0.64,12.0,181.0
"Accounting - 74.json",300.0,0.73,12.0,181.0
"Accounting - 74.json",300.0,0.69,12.0,181.0
"Accounting - 74.json",300.0,0.7,12.0,181.0
"Accounting - 74.json",300.0,0.67,12.0,181.0
"Accounting - 74.json",300.0,0.7,12.0,181.0
"Accounting - 74.json",300.0,0.74,12.0,181.0
"Accounting - 74.json",300.0,0.6,12.0,181.0
"Accounting - 74.json",300.0,0.61,12.0,181.0
"Accounting - 74.json",300.0,0.67,12.0,181.0
"Accounting - 74.json",300.0,0.66,12.0,181.0
"Accounting - 74.json",300.0,0.65,12.0,181.0
"Accounting - 74.json",300.0,0.6,12.0,181.0
"Accounting - 74.json",300.0,0.59,12.0,181.0
"Accounting - 74.json",300.0,0.71,12.0,181.0
"Accounting - 74.json",300.0,0.65,12.0,181.0
"Accounting - 74.json",300.0,0.64,12.0,181.0
"Accounting - 74.json",300.0,0.68,12.0,181.0
"Accounting - 74.json",300.0,0.69,12.0,181.0
"Accounting - 74.json",300.0,0.69,12.0,181.0
"Accounting - 74.json",300.0,0.71,12.0,181.0
"Accounting - 74.json",300.0,0.62,12.0,181.0
"Accounting - 74.json",300.0,0.69,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.59,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.61,12.0,181.0
"Accounting - 74.json",300.0,0.68,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.62,12.0,181.0
"Accounting - 74.json",300.0,0.66,12.0,181.0
"Accounting - 74.json",300.0,0.62,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.62,12.0,181.0
"Accounting - 74.json",300.0,0.56,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.64,12.0,181.0
"Accounting - 74.json",300.0,0.68,12.0,181.0
"Accounting - 74.json",300.0,0.69,12.0,181.0
"Accounting - 74.json",300.0,0.69,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.65,12.0,181.0
"Accounting - 74.json",300.0,0.6,12.0,181.0
"Accounting - 74.json",300.0,0.68,12.0,181.0
"Accounting - 74.json",300.0,0.68,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.62,12.0,181.0
"Accounting - 74.json",300.0,0.63,12.0,181.0
"Accounting - 74.json",300.0,0.64,12.0,181.0
"Accounting - 74.json",300.0,0.6,12.0,181.0
"Accounting - 74.json",300.0,0.67,12.0,181.0
"Accounting - 74.json",300.0,0.76,12.0,181.0
