"name","difficulty","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"178.json","0.0","19","5","14","1.0","3","33","31","4","0.053","0.197","0.3762","0.557","0.7048","6.5762"
"179.json","0.0","23","7","16","2.0","2","42","35","5","0.0312","0.1344","0.301","0.4788","0.63","7.0562"
"18.json","0.0","15","3","12","1.0","4","28","27","2","0.0692","0.2364","0.4388","0.6064","0.7436","6.3218"
"180.json","0.0","21","6","15","2.0","3","35","33","4","0.044","0.162","0.3368","0.5144","0.6582","6.885249559999999"
"181.json","0.0","23","7","16","2.0","3","39","35","5","0.0264","0.1216","0.2802","0.4556","0.61","7.218051447048"
"182.json","0.0","26","8","18","3.0","2","46","38","5","0.0164","0.0894","0.2248","0.4008","0.5696","7.4984"
"183.json","0.0","27","9","18","3.0","2","48","39","6","0.0148","0.0784","0.2028","0.3848","0.559","7.5978"
"184.json","0.0","21","6","15","2.0","3","35","33","4","0.04","0.1592","0.3358","0.508","0.6604","6.8708"
"185.json","0.0","26","8","18","3.0","2","46","38","5","0.0176","0.0914","0.2314","0.4122","0.574","7.4766"
"186.json","0.0","23","7","16","2.0","3","39","35","5","0.0284","0.132","0.2822","0.4558","0.6094","7.2198"
"187.json","0.0","27","9","18","3.0","2","48","39","6","0.0144","0.0864","0.2168","0.3838","0.5412","7.6104"
"188.json","0.0","26","9","17","4.0","2","45","38","5","0.0216","0.112","0.2488","0.4118","0.5698","7.4746"
"189.json","0.0","28","10","18","4.0","2","49","40","6","0.0138","0.079","0.2044","0.364","0.5352","7.7198"
"19.json","0.0","19","5","14","2.0","3","37","31","3","0.0478","0.1754","0.3458","0.5362","0.677","6.7954"
"190.json","0.0","28","10","18","4.0","2","49","40","6","0.0146","0.081","0.2084","0.3668","0.5168","7.8378"
"191.json","0.0","29","11","18","4.0","2","51","41","7","0.0154","0.0756","0.1984","0.3472","0.502","7.8952"
"192.json","0.0","11","2","9","0.0","4","19","23","2","0.143","0.356","0.5824","0.743","0.8466","5.5106"
"193.json","0.0","17","4","13","1.0","3","31","29","3","0.0648","0.2186","0.4072","0.5868","0.7176","6.4304"
"194.json","0.0","17","4","13","1.0","3","31","29","3","0.069","0.2286","0.4168","0.5982","0.729","6.3722"
"195.json","0.0","21","6","15","2.0","2","40","33","4","0.0384","0.1584","0.3392","0.505","0.6596","6.8956"
"196.json","0.0","17","4","13","1.0","3","31","29","3","0.0638","0.2182","0.4168","0.5978","0.7328","6.394"
"197.json","0.0","19","5","14","1.0","3","35","31","4","0.0418","0.1654","0.3486","0.5244","0.666","6.8216"
"198.json","0.0","22","6","16","2.0","2","42","34","4","0.0302","0.1324","0.2988","0.4852","0.6484","7.020387557224001"
"199.json","0.0","23","7","16","2.0","2","44","35","5","0.0262","0.1238","0.2766","0.4558","0.6164","7.1916"
"2.json","0.0","9","1","8","0.0","5","19","21","1","0.0922","0.3132","0.5386","0.7146","0.8334","5.719712183204538"
"20.json","0.0","12","2","10","0.0","4","23","24","2","0.1382","0.3436","0.5652","0.7372","0.8468","5.5394"
"200.json","0.0","17","4","13","1.0","3","31","29","3","0.0662","0.2198","0.419","0.5946","0.7346","6.4252"
"201.json","0.0","22","6","16","2.0","2","42","34","4","0.0258","0.128","0.2938","0.4756","0.6272","7.1118"
"202.json","0.0","19","5","14","1.0","3","35","31","4","0.0508","0.1774","0.3494","0.5412","0.6918","6.72179088"
"203.json","0.0","23","7","16","2.0","2","44","35","5","0.0254","0.123","0.2816","0.4528","0.6066","7.2232"
"204.json","0.0","21","6","15","2.0","2","40","33","4","0.0362","0.1622","0.3318","0.506","0.6612","6.8822088"
"205.json","0.0","23","7","16","2.0","2","44","35","5","0.0302","0.1294","0.293","0.464","0.617","7.1492"
"206.json","0.0","23","7","16","2.0","2","44","35","5","0.0254","0.1306","0.287","0.451","0.6052","7.2202"
"207.json","0.0","24","8","16","2.0","2","46","36","6","0.0228","0.1114","0.2558","0.4238","0.5778","7.4046"
"208.json","0.0","13","3","10","0.0","4","21","25","3","0.1338","0.348","0.5514","0.722","0.8372","5.59490212"
"209.json","0.0","21","6","15","2.0","3","35","33","4","0.0414","0.154","0.3256","0.505","0.6558","6.9164"
"21.json","0.0","17","4","13","1.0","4","32","29","3","0.0608","0.2092","0.4048","0.583","0.7244","6.4598"
"210.json","0.0","21","6","15","2.0","3","35","33","4","0.033","0.1494","0.3142","0.4974","0.6516","6.9846"
"211.json","0.0","26","9","17","4.0","2","45","38","5","0.0236","0.107","0.2474","0.4196","0.579","7.4618"
"212.json","0.0","19","5","14","1.0","3","33","31","4","0.058","0.2098","0.397","0.5738","0.7256","6.459"
"213.json","0.0","23","7","16","2.0","3","39","35","5","0.0252","0.1254","0.2816","0.4554","0.625","7.222043610289409"
"214.json","0.0","26","8","18","3.0","2","46","38","5","0.0164","0.087","0.2238","0.3918","0.5654","7.5244"
"215.json","0.0","28","10","18","4.0","2","49","40","6","0.0142","0.0812","0.204","0.369","0.533","7.700946280000001"
"216.json","0.0","19","5","14","1.0","3","33","31","4","0.053","0.1974","0.3862","0.5654","0.706","6.5408"
"217.json","0.0","26","8","18","3.0","2","46","38","5","0.016","0.0928","0.2304","0.4106","0.5788","7.5036"
"218.json","0.0","23","7","16","2.0","3","39","35","5","0.0272","0.1322","0.2836","0.4564","0.6076","7.2544"
"219.json","0.0","28","10","18","4.0","2","49","40","6","0.017","0.0898","0.2228","0.3832","0.5392","7.6512"
"22.json","0.0","18","4","14","1.0","3","35","30","3","0.0542","0.192","0.3852","0.5752","0.7192","6.538"
"220.json","0.0","23","7","16","2.0","2","42","35","5","0.0304","0.1478","0.3188","0.4952","0.6528","6.9892"
"221.json","0.0","27","9","18","3.0","2","48","39","6","0.0136","0.0828","0.2108","0.378","0.537","7.6572"
"222.json","0.0","27","9","18","3.0","2","48","39","6","0.0194","0.0862","0.2208","0.3908","0.5554","7.5994"
"223.json","0.0","29","11","18","4.0","2","51","41","7","0.016","0.0856","0.2088","0.3504","0.5166","7.8156"
"224.json","0.0","13","3","10","0.0","4","21","25","3","0.135","0.3412","0.5534","0.7274","0.8344","5.597"
"225.json","0.0","19","5","14","1.0","3","33","31","4","0.0536","0.197","0.3878","0.5614","0.7054","6.5646"
"226.json","0.0","19","5","14","1.0","3","33","31","4","0.0558","0.2","0.3962","0.571","0.7116","6.539"
"227.json","0.0","23","7","16","2.0","2","42","35","5","0.03","0.139","0.2992","0.483","0.6368","7.0466"
"228.json","0.0","21","6","15","2.0","3","35","33","4","0.04","0.1636","0.3298","0.5086","0.6636","6.8408"
"229.json","0.0","23","7","16","2.0","3","39","35","5","0.03","0.1252","0.2794","0.4498","0.6066","7.2198"
"23.json","0.0","21","6","15","2.0","3","41","33","4","0.0438","0.1606","0.3248","0.5016","0.6572","6.9174"
"230.json","0.0","26","8","18","3.0","2","46","38","5","0.0126","0.0922","0.2298","0.4046","0.565","7.525899679999999"
"231.json","0.0","27","9","18","3.0","2","48","39","6","0.0172","0.0908","0.2214","0.3856","0.5526","7.5429195600000005"
"232.json","0.0","21","6","15","2.0","3","35","33","4","0.0392","0.163","0.341","0.5162","0.6628","6.8476"
"233.json","0.0","26","8","18","3.0","2","46","38","5","0.0166","0.0956","0.2388","0.4086","0.5684","7.5004"
"234.json","0.0","23","7","16","2.0","3","39","35","5","0.0278","0.1246","0.2772","0.4544","0.6048","7.207"
"235.json","0.0","27","9","18","3.0","2","48","39","6","0.0136","0.0788","0.2098","0.3802","0.5446","7.6916"
"236.json","0.0","26","9","17","4.0","2","45","38","5","0.0242","0.1096","0.2538","0.424","0.589","7.40729492"
"237.json","0.0","28","10","18","4.0","2","49","40","6","0.0144","0.077","0.2086","0.3734","0.5286","7.73594396"
"238.json","0.0","28","10","18","4.0","2","49","40","6","0.0184","0.0854","0.2104","0.3706","0.5292","7.7462"
"239.json","0.0","29","11","18","4.0","2","51","41","7","0.0162","0.0712","0.1848","0.3356","0.5012","7.9048"
"24.json","0.0","12","2","10","0.0","4","23","24","2","0.133","0.351","0.5738","0.7444","0.849","5.532"
"240.json","0.0","14","4","10","0.0","4","22","26","4","0.1242","0.3254","0.5318","0.6926","0.8146","5.7642"
"241.json","0.0","22","7","15","2.0","3","36","34","5","0.041","0.158","0.3366","0.5038","0.6518","6.9214"
"242.json","0.0","22","7","15","2.0","3","36","34","5","0.0424","0.1582","0.3202","0.4958","0.6368","6.9672680399999996"
"243.json","0.0","27","10","17","4.0","2","46","39","6","0.0256","0.1038","0.2422","0.4098","0.5742","7.4868"
"244.json","0.0","22","7","15","2.0","3","36","34","5","0.047","0.16","0.3238","0.5014","0.6608","6.9158"
"245.json","0.0","24","8","16","2.0","3","40","36","6","0.0312","0.117","0.2648","0.4362","0.5874","7.3274"
"246.json","0.0","28","10","18","4.0","2","48","40","6","0.0172","0.0808","0.2072","0.3748","0.533","7.7298"
"247.json","0.0","29","11","18","4.0","2","50","41","7","0.018","0.0796","0.2034","0.3604","0.5152","7.8264"
"248.json","0.0","22","7","15","2.0","3","36","34","5","0.043","0.168","0.3322","0.504","0.6426","6.9656"
"249.json","0.0","28","10","18","4.0","2","48","40","6","0.0194","0.089","0.2152","0.3806","0.5302","7.6824"
"25.json","0.0","18","4","14","1.0","3","35","30","3","0.054","0.1904","0.3874","0.5662","0.7142","6.5438"
"250.json","0.0","24","8","16","2.0","3","40","36","6","0.024","0.1142","0.2648","0.4328","0.5964","7.3552"
"251.json","0.0","29","11","18","4.0","2","50","41","7","0.0182","0.0802","0.1936","0.3482","0.5118","7.8432"
"252.json","0.0","27","10","17","4.0","2","46","39","6","0.0224","0.106","0.244","0.4164","0.5688","7.4636814589839995"
"253.json","0.0","29","11","18","4.0","2","50","41","7","0.017","0.0802","0.2042","0.357","0.5192","7.8246"
"254.json","0.0","29","11","18","4.0","2","50","41","7","0.0132","0.079","0.1926","0.3526","0.5106","7.8886"
"255.json","0.0","30","12","18","4.0","2","52","42","8","0.018","0.0734","0.1814","0.3324","0.4888","7.978"
"26.json","0.0","17","4","13","1.0","4","32","29","3","0.058","0.2008","0.4022","0.5862","0.7256","6.4484"
"27.json","0.0","21","6","15","2.0","3","41","33","4","0.0462","0.169","0.3432","0.5266","0.6718","6.8046"
"28.json","0.0","14","3","11","0.0","3","28","26","3","0.1312","0.3342","0.5532","0.7136","0.831","5.6328"
"29.json","0.0","19","5","14","1.0","3","37","31","4","0.0566","0.1994","0.3884","0.5718","0.7082","6.53770052"
"3.json","0.0","11","2","9","0.0","4","24","23","2","0.0722","0.2536","0.4672","0.6516","0.7806","6.082"
"30.json","0.0","19","5","14","1.0","3","37","31","4","0.0536","0.203","0.385","0.5638","0.7078","6.5584"
"31.json","0.0","22","7","15","2.0","3","43","34","5","0.0454","0.162","0.3288","0.4982","0.652","6.9432"
"32.json","0.0","9","1","8","0.0","5","16","21","1","0.1592","0.3826","0.6002","0.7772","0.8742","5.342352839999999"
"33.json","0.0","12","2","10","0.0","4","23","24","2","0.1394","0.364","0.5722","0.7348","0.8464","5.51"
"34.json","0.0","12","2","10","0.0","4","23","24","2","0.1398","0.3574","0.5652","0.7364","0.8422","5.5428"
"35.json","0.0","14","3","11","0.0","3","28","26","3","0.1222","0.3218","0.5428","0.7116","0.8352","5.6638"
"36.json","0.0","15","3","12","1.0","4","28","27","2","0.066","0.2334","0.4324","0.6052","0.7436","6.2956"
"37.json","0.0","17","4","13","1.0","4","32","29","3","0.0576","0.2084","0.4072","0.5772","0.7218","6.4644"
"38.json","0.0","18","4","14","1.0","3","35","30","3","0.0522","0.2018","0.3894","0.5686","0.7172","6.5218"
"39.json","0.0","19","5","14","1.0","3","37","31","4","0.0542","0.205","0.3896","0.568","0.7136","6.5403076"
"4.json","0.0","9","1","8","0.0","5","19","21","1","0.1496","0.3666","0.6048","0.7786","0.883","5.3302"
"40.json","0.0","15","3","12","1.0","4","28","27","2","0.0658","0.2272","0.426","0.6026","0.742","6.3452"
"41.json","0.0","18","4","14","1.0","3","35","30","3","0.0438","0.1882","0.3752","0.5604","0.7104","6.5838"
"42.json","0.0","17","4","13","1.0","4","32","29","3","0.0554","0.2136","0.4136","0.5934","0.7262","6.4434"
"43.json","0.0","19","5","14","1.0","3","37","31","4","0.0508","0.1976","0.3824","0.5658","0.718","6.5482"
"44.json","0.0","19","5","14","2.0","3","37","31","3","0.0458","0.1736","0.3522","0.5228","0.6688","6.8028"
"45.json","0.0","21","6","15","2.0","3","41","33","4","0.044","0.1676","0.3426","0.5164","0.6682","6.8556"
"46.json","0.0","21","6","15","2.0","3","41","33","4","0.043","0.163","0.327","0.508","0.661","6.8864"
"47.json","0.0","22","7","15","2.0","3","43","34","5","0.037","0.152","0.321","0.5026","0.6532","6.944"
"48.json","0.0","11","2","9","0.0","4","19","23","2","0.1556","0.3696","0.5824","0.7504","0.856","5.450468470568"
"49.json","0.0","17","4","13","1.0","3","31","29","3","0.0606","0.2228","0.4206","0.5998","0.739","6.366"
"5.json","0.0","11","2","9","0.0","5","23","23","2","0.0936","0.283","0.5084","0.684","0.8118","5.8474"
"50.json","0.0","17","4","13","1.0","3","31","29","3","0.0636","0.2286","0.4246","0.5976","0.7354","6.368"
"51.json","0.0","21","6","15","2.0","2","40","33","4","0.0418","0.1554","0.3272","0.5102","0.6574","6.903"
"52.json","0.0","17","4","13","1.0","3","31","29","3","0.0726","0.2282","0.4204","0.6034","0.7312","6.3784"
"53.json","0.0","19","5","14","1.0","3","35","31","4","0.046","0.1714","0.355","0.5324","0.6748","6.7734"
"54.json","0.0","22","6","16","2.0","2","42","34","4","0.0276","0.1322","0.2896","0.479","0.6376","7.0852"
"55.json","0.0","23","7","16","2.0","2","44","35","5","0.0228","0.1146","0.2658","0.444","0.6096","7.256"
"56.json","0.0","17","4","13","1.0","3","31","29","3","0.0672","0.222","0.4112","0.592","0.7286","6.4088"
"57.json","0.0","22","6","16","2.0","2","42","34","4","0.026","0.1328","0.2956","0.4812","0.6298","7.078"
"58.json","0.0","19","5","14","1.0","3","35","31","4","0.048","0.1728","0.345","0.519","0.6686","6.8404"
"59.json","0.0","23","7","16","2.0","2","44","35","5","0.025","0.1178","0.2814","0.448","0.6066","7.266088680000001"
"6.json","0.0","12","2","10","0.0","4","26","24","2","0.0798","0.2696","0.4906","0.6698","0.8","5.9604"
"60.json","0.0","21","6","15","2.0","2","40","33","4","0.041","0.158","0.324","0.4994","0.6476","6.9532"
"61.json","0.0","23","7","16","2.0","2","44","35","5","0.0258","0.1178","0.2786","0.4486","0.61","7.222"
"62.json","0.0","23","7","16","2.0","2","44","35","5","0.0296","0.1344","0.2844","0.4564","0.6122","7.18"
"63.json","0.0","24","8","16","2.0","2","46","36","6","0.025","0.1216","0.2676","0.4322","0.5868","7.3726"
"64.json","0.0","9","1","8","0.0","5","16","21","1","0.146","0.3774","0.5982","0.7556","0.8624","5.4164"
"65.json","0.0","15","3","12","1.0","4","28","27","2","0.0644","0.229","0.4304","0.6072","0.7458","6.2972"
"66.json","0.0","15","3","12","1.0","4","28","27","2","0.0642","0.2312","0.4204","0.6074","0.7454","6.3084"
"67.json","0.0","19","5","14","2.0","3","37","31","3","0.0502","0.178","0.3602","0.5304","0.686","6.7284"
"68.json","0.0","12","2","10","0.0","4","23","24","2","0.1342","0.3394","0.5578","0.7308","0.845","5.573"
"69.json","0.0","17","4","13","1.0","4","32","29","3","0.0562","0.2166","0.407","0.5906","0.7302","6.4312"
"7.json","0.0","13","3","10","0.0","4","28","25","3","0.0684","0.238","0.4416","0.6246","0.764","6.191490093694114"
"70.json","0.0","18","4","14","1.0","3","35","30","3","0.0522","0.2014","0.3976","0.584","0.73","6.4442"
"71.json","0.0","21","6","15","2.0","3","41","33","4","0.0404","0.1682","0.3432","0.5108","0.6616","6.869160559999999"
"72.json","0.0","12","2","10","0.0","4","23","24","2","0.137","0.357","0.5708","0.7342","0.8438","5.5276"
"73.json","0.0","18","4","14","1.0","3","35","30","3","0.0526","0.1974","0.3882","0.5688","0.7156","6.539"
"74.json","0.0","17","4","13","1.0","4","32","29","3","0.056","0.2104","0.4036","0.5844","0.726","6.449"
"75.json","0.0","21","6","15","2.0","3","41","33","4","0.0408","0.16","0.3386","0.5146","0.6686","6.854160920000001"
"76.json","0.0","14","3","11","0.0","3","28","26","3","0.132","0.3302","0.5462","0.7186","0.8282","5.6612"
"77.json","0.0","19","5","14","1.0","3","37","31","4","0.0546","0.1942","0.3892","0.5728","0.7072","6.5392"
"78.json","0.0","19","5","14","1.0","3","37","31","4","0.056","0.2024","0.391","0.5744","0.7222","6.4936"
"79.json","0.0","22","7","15","2.0","3","43","34","5","0.0436","0.161","0.329","0.505","0.657","6.9124"
"8.json","0.0","9","1","8","0.0","5","19","21","1","0.1412","0.3876","0.6098","0.7716","0.8714","5.355"
"80.json","0.0","11","2","9","0.0","5","18","23","2","0.1236","0.3336","0.5516","0.7256","0.843","5.6002"
"81.json","0.0","19","5","14","2.0","4","32","31","3","0.0362","0.154","0.3402","0.525","0.6728","6.8004"
"82.json","0.0","19","5","14","2.0","4","32","31","3","0.0396","0.1612","0.3336","0.5262","0.6694","6.8517842799999995"
"83.json","0.0","24","8","16","4.0","3","42","36","4","0.0242","0.1174","0.2538","0.431","0.5858","7.4042"
"84.json","0.0","14","3","11","0.0","4","25","26","3","0.1262","0.3264","0.5304","0.7086","0.8274","5.6972"
"85.json","0.0","21","6","15","2.0","4","36","33","4","0.0342","0.155","0.3346","0.5032","0.6544","6.8812"
