"combinations","n","pMax","pAvg","r2"
"reachability,edges","2","6.839331815305344e-5","2.279777271768448e-5","0.7636385136462867"
"term_complexity,term_centrality","2","0.32189502340327625","0.10729834113442542","0.8437122859402497"
"term_complexity,term_reachability","2","0.00010033418785174348","3.3444729283914495e-5","0.8519289057930817"
"term_complexity,free","2","5.883674071206511e-6","1.9612246904021703e-6","0.8548389552195309"
"term_complexity,edges","2","0.00010584214980580136","3.5280716601933786e-5","0.8518733829328896"
"term_blocking,term_delay","2","0.07455385045052745","0.02485128348350915","0.8519289057930816"
"term_blocking,term_centrality","2","0.9696673005773623","0.32323217773625545","0.7588958518798745"
"term_blocking,free","2","1.0532486283260463e-5","3.5108287610868213e-6","0.7606112402758942"
"term_blocking,edges","2","0.02362465049313744","0.00787488349771248","0.7474091597340229"
"term_delay,term_centrality","2","0.0008280463259590505","0.00027601544198635014","0.8563945863659499"
"term_delay,term_reachability","2","0.07455385045061456","0.024851283483538187","0.8519289057930816"
"term_delay,free","2","1.6781013193252872e-6","5.593671064431821e-7","0.884322031566523"
"term_delay,edges","2","0.6137319885383641","0.20457732951278804","0.8502254510440622"
"term_centrality,term_reachability","2","0.9696673005773622","0.3232321777362554","0.7588958518798746"
"term_centrality,free","2","1.2773814187327592e-5","4.25793806244253e-6","0.7757108739702412"
"term_centrality,edges","2","0.00911199412158649","0.003037331373862163","0.7651816420380658"
"term_reachability,free","2","1.0532486283260463e-5","3.5108287610868213e-6","0.7606112402758942"
"term_reachability,edges","2","0.02362465049313744","0.00787488349771248","0.7474091597340229"
"free,edges","2","1.2791773627321597e-8","4.263924575721849e-9","0.6856136195693029"
"complexity,centrality,reachability","3","2.614124121191112e-6","6.535692083928018e-7","0.8678680542629507"
"complexity,centrality,term_reachability","3","0.09533660725769325","0.023835657563437532","0.8481285118525188"
"complexity,centrality,free","3","3.431788299682365e-5","8.580569381789908e-6","0.8562124589407751"
"complexity,centrality,edges","3","0.2113227521510279","0.05283073636113224","0.8613134370198133"
"complexity,reachability,term_centrality","3","2.3134663378618985e-12","5.78366585277552e-13","0.8797248173157904"
"complexity,reachability,free","3","2.1263057879475688e-6","5.315764490786841e-7","0.8680582862182642"
"complexity,reachability,edges","3","0.014360404997685846","0.003645405589639764","0.8636861351006252"
"complexity,term_centrality,term_reachability","3","0.49694597910490473","0.1503421624029211","0.8375274207165905"
"complexity,term_centrality,free","3","0.004860411515022801","0.001935834693699516","0.8421782391791077"
"complexity,term_centrality,edges","3","0.2353905164379485","0.05884762911880374","0.8612292943184167"
"complexity,term_reachability,free","3","0.067786017207006","0.024947062506063503","0.8387647141520427"
"complexity,term_reachability,edges","3","0.0021576580912573227","0.0005394145228352909","0.8654611824907014"
"complexity,free,edges","3","0.05897015285395684","0.014742538214967113","0.8623965745635772"
"blocking,delay,centrality","3","6.915049639416107e-6","2.382293440143001e-6","0.8678680542629504"
"blocking,delay,term_centrality","3","1.292951294479086e-10","3.290214894644154e-11","0.8797248173157906"
"blocking,delay,term_reachability","3","0.00438471264265223","0.0011392152488709135","0.8639266602798512"
"blocking,delay,free","3","0.578393975263015","0.14459902539220074","0.8680582862182642"
"blocking,centrality,term_delay","3","0.0004938576237581022","0.0001394663206061013","0.86351465729371"
"blocking,centrality,term_reachability","3","0.6356177967025932","0.292276007570824","0.755329341459242"
"blocking,centrality,free","3","0.8724169940677775","0.24226999563706833","0.7646385415433916"
"blocking,centrality,edges","3","0.23978651062677203","0.06001901261925632","0.7649224723719811"
"blocking,term_delay,term_centrality","3","0.36131929991140166","0.10580250064945058","0.8568660247269391"
"blocking,term_delay,free","3","0.011403548507521778","0.0028509042852284255","0.8871766500409688"
"blocking,term_delay,edges","3","9.434297717968247e-5","2.384250375967005e-5","0.8631414212438207"
"blocking,term_centrality,term_reachability","3","0.9032686481900976","0.4211638108134276","0.7589986575527559"
"blocking,term_centrality,free","3","0.2207568865972994","0.05520018777454061","0.777032326952318"
"blocking,term_centrality,edges","3","0.028651357672510428","0.010051969708775876","0.7695434113777985"
"blocking,term_reachability,free","3","0.01825762049160755","0.006496452767437163","0.7671970448548188"
"blocking,term_reachability,edges","3","0.0001494253922871046","3.757316534390301e-5","0.7763498296533757"
"blocking,free,edges","3","8.047398139513087e-7","2.7868721003837526e-7","0.7843871762493093"
"delay,centrality,reachability","3","6.915049639354781e-6","2.382293440121595e-6","0.8678680542629507"
"delay,centrality,term_blocking","3","0.27175751518844476","0.0733239253922981","0.860228197296282"
"delay,centrality,term_reachability","3","0.27175751518844476","0.0733239253922981","0.860228197296282"
