"combinations","r2"
"complexity,inverseDelay,creditHours,timeComp1","0.9017115520727262"
"complexity,inverseDelay,creditHours,timeComp2","0.9142820362852404"
"complexity,inverseDelay,free,timeComp1","0.8014357722951531"
"complexity,inverseDelay,free,timeComp2","0.7962547153474047"
"complexity,inverseDelay,timeComp1,timeComp2","0.8180093872496501"
"complexity,centrality,creditHours,free","0.9192107008994509"
"complexity,centrality,creditHours,timeComp1","0.9214136280377812"
"complexity,centrality,creditHours,timeComp2","0.923838822957584"
"complexity,centrality,free,timeComp1","0.8036187914108054"
"complexity,centrality,free,timeComp2","0.8230167828688046"
"complexity,centrality,timeComp1,timeComp2","0.831818323448827"
"complexity,creditHours,free,timeComp1","0.9017837832383677"
"complexity,creditHours,free,timeComp2","0.9156177755326882"
"complexity,creditHours,timeComp1,timeComp2","0.9142522040617661"
"complexity,free,timeComp1,timeComp2","0.8155776154001457"
"blocking,delay,inverseDelay,centrality","0.5325621696251228"
"blocking,delay,inverseDelay,creditHours","0.9128587418219749"
"blocking,delay,inverseDelay,free","0.541868380872203"
"blocking,delay,inverseDelay,timeComp1","0.7922014997483613"
"blocking,delay,inverseDelay,timeComp2","0.8143855076796422"
"blocking,delay,centrality,creditHours","0.9192092495381474"
"blocking,delay,centrality,free","0.5090798068069003"
"blocking,delay,centrality,timeComp1","0.7921752507228785"
"blocking,delay,centrality,timeComp2","0.8187694296334875"
"blocking,delay,creditHours,free","0.9127654764977038"
"blocking,delay,creditHours,timeComp1","0.913906556889059"
"blocking,delay,creditHours,timeComp2","0.9181858279859756"
"blocking,delay,free,timeComp1","0.8051249312052134"
"blocking,delay,free,timeComp2","0.8177399257070925"
"blocking,delay,timeComp1,timeComp2","0.8307794204339334"
"blocking,inverseDelay,centrality,creditHours","0.9189061440341787"
"blocking,inverseDelay,centrality,free","0.5429711927921619"
"blocking,inverseDelay,centrality,timeComp1","0.7863620046331707"
"blocking,inverseDelay,centrality,timeComp2","0.7965022807189195"
"blocking,inverseDelay,creditHours,free","0.9086938256095773"
"blocking,inverseDelay,creditHours,timeComp1","0.9111342878947422"
"blocking,inverseDelay,creditHours,timeComp2","0.9190402955611888"
"blocking,inverseDelay,free,timeComp1","0.7934073927440801"
"blocking,inverseDelay,free,timeComp2","0.7819067522757921"
"blocking,inverseDelay,timeComp1,timeComp2","0.8055489606922861"
"blocking,centrality,creditHours,free","0.9189126199755971"
"blocking,centrality,creditHours,timeComp1","0.9214209592228054"
"blocking,centrality,creditHours,timeComp2","0.9228567835983469"
"blocking,centrality,free,timeComp1","0.7914915726583647"
"blocking,centrality,free,timeComp2","0.7927143420206666"
"blocking,centrality,timeComp1,timeComp2","0.8061722915623025"
"blocking,creditHours,free,timeComp1","0.9108033107559936"
"blocking,creditHours,free,timeComp2","0.9197667181974781"
"blocking,creditHours,timeComp1,timeComp2","0.9184701303405156"
"blocking,free,timeComp1,timeComp2","0.7896532287639902"
"delay,inverseBlocking,inverseDelay,centrality","0.5325621696251228"
"delay,inverseBlocking,inverseDelay,creditHours","0.9128587418219747"
"delay,inverseBlocking,inverseDelay,free","0.5418683808722029"
"delay,inverseBlocking,inverseDelay,timeComp1","0.7922014997483614"
"delay,inverseBlocking,inverseDelay,timeComp2","0.8143855076796422"
"delay,inverseBlocking,centrality,creditHours","0.9192092495381474"
"delay,inverseBlocking,centrality,free","0.5090798068069003"
"delay,inverseBlocking,centrality,timeComp1","0.7921752507228785"
"delay,inverseBlocking,centrality,timeComp2","0.8187694296334875"
"delay,inverseBlocking,creditHours,free","0.9127654764977038"
"delay,inverseBlocking,creditHours,timeComp1","0.9139065568890589"
"delay,inverseBlocking,free,timeComp1","0.8051249312052134"
"delay,inverseBlocking,free,timeComp2","0.8177399257070925"
"delay,inverseBlocking,timeComp1,timeComp2","0.8307794204339334"
"delay,inverseDelay,centrality,creditHours","0.9191906167122642"
"delay,inverseDelay,centrality,free","0.5434477200103429"
"delay,inverseDelay,centrality,timeComp1","0.7908865843435982"
"delay,inverseDelay,centrality,timeComp2","0.8182044830190873"
"delay,inverseDelay,creditHours,free","0.8966287017612483"
"delay,inverseDelay,creditHours,timeComp1","0.8960476323538409"
"delay,inverseDelay,creditHours,timeComp2","0.9003084321967615"
"delay,inverseDelay,free,timeComp1","0.8050710756351365"
"delay,inverseDelay,free,timeComp2","0.8148819877104491"
"delay,inverseDelay,timeComp1,timeComp2","0.8301017825148169"
"delay,centrality,creditHours,free","0.9191026985826803"
"delay,centrality,creditHours,timeComp1","0.9214128790844833"
"delay,centrality,creditHours,timeComp2","0.9242147703455975"
"delay,centrality,free,timeComp1","0.8051352019690624"
"delay,centrality,free,timeComp2","0.821870645723618"
"delay,centrality,timeComp1,timeComp2","0.8323873548950249"
"delay,creditHours,free,timeComp1","0.896202313882438"
"delay,creditHours,free,timeComp2","0.8986134622761296"
"delay,creditHours,timeComp1,timeComp2","0.9006658274349445"
"delay,free,timeComp1,timeComp2","0.8300729365326407"
"inverseBlocking,inverseDelay,centrality,creditHours","0.9189061440341787"
"inverseBlocking,inverseDelay,centrality,free","0.5429711927921619"
"inverseBlocking,inverseDelay,centrality,timeComp1","0.7863620046331707"
"inverseBlocking,inverseDelay,centrality,timeComp2","0.7965022807189195"
"inverseBlocking,inverseDelay,creditHours,free","0.9086938256095773"
"inverseBlocking,inverseDelay,creditHours,timeComp1","0.9111342878947422"
"inverseBlocking,inverseDelay,creditHours,timeComp2","0.9190402955611888"
"inverseBlocking,inverseDelay,free,timeComp1","0.7934073927440801"
"inverseBlocking,inverseDelay,free,timeComp2","0.7819067522757921"
"inverseBlocking,inverseDelay,timeComp1,timeComp2","0.8055489606922861"
"inverseBlocking,centrality,creditHours,free","0.9189126199755971"
"inverseBlocking,centrality,creditHours,timeComp1","0.9214209592228054"
"inverseBlocking,centrality,creditHours,timeComp2","0.9228567835983469"
"inverseBlocking,centrality,free,timeComp1","0.7914915726583647"
"inverseBlocking,centrality,free,timeComp2","0.7927143420206666"
"inverseBlocking,centrality,timeComp1,timeComp2","0.8061722915623025"
"inverseBlocking,creditHours,free,timeComp1","0.9108033107559936"
"inverseBlocking,creditHours,free,timeComp2","0.9197667181974781"
"inverseBlocking,creditHours,timeComp1,timeComp2","0.9184701303405156"
"inverseBlocking,free,timeComp1,timeComp2","0.7896532287639902"
"inverseDelay,centrality,creditHours,free","0.9180381356015891"
"inverseDelay,centrality,creditHours,timeComp1","0.9215668772799288"
"inverseDelay,centrality,creditHours,timeComp2","0.9243446477142137"
"inverseDelay,centrality,free,timeComp1","0.7886815055848039"
"inverseDelay,centrality,free,timeComp2","0.7782357533185043"
"inverseDelay,centrality,timeComp1,timeComp2","0.7986064704038064"
"inverseDelay,creditHours,free,timeComp1","0.8968095044085891"
"inverseDelay,creditHours,timeComp1,timeComp2","0.9003471989154028"
"inverseDelay,free,timeComp1,timeComp2","0.7997163594254051"
"centrality,creditHours,free,timeComp1","0.9216671444394635"
"centrality,creditHours,free,timeComp2","0.922621671478288"
"centrality,creditHours,timeComp1,timeComp2","0.922872663651731"
"centrality,free,timeComp1,timeComp2","0.7663041788207385"
"creditHours,free,timeComp1,timeComp2","0.8959594338465509"
"complexity,blocking,delay,inverseDelay,centrality","0.5325621696251228"
"complexity,blocking,delay,inverseDelay,creditHours","0.9128587418219749"
"complexity,blocking,delay,inverseDelay,free","0.541868380872203"
"complexity,blocking,delay,inverseDelay,timeComp1","0.7922014997483614"
"complexity,blocking,delay,inverseDelay,timeComp2","0.8143855076796422"
"complexity,blocking,delay,centrality,creditHours","0.9192092495381475"
"complexity,blocking,delay,centrality,free","0.5090798068069002"
"complexity,blocking,delay,centrality,timeComp1","0.7921752507228785"
"complexity,blocking,delay,creditHours,free","0.9127654764977038"
"complexity,blocking,delay,creditHours,timeComp1","0.9139065568890589"
"complexity,blocking,delay,creditHours,timeComp2","0.9181858279859757"
"complexity,blocking,delay,free,timeComp1","0.8051249312052134"
"complexity,blocking,delay,free,timeComp2","0.8177399257070923"
"complexity,blocking,delay,timeComp1,timeComp2","0.8307794204339334"
"complexity,blocking,inverseDelay,centrality,creditHours","0.9192986718185211"
"complexity,blocking,inverseDelay,centrality,free","0.5453067839597086"
"complexity,blocking,inverseDelay,centrality,timeComp1","0.7923043636676455"
"complexity,blocking,inverseDelay,centrality,timeComp2","0.8187699386790369"
"complexity,blocking,inverseDelay,creditHours,free","0.91299136350733"
"complexity,blocking,inverseDelay,creditHours,timeComp1","0.9143817460135151"
"complexity,blocking,inverseDelay,creditHours,timeComp2","0.919095939588212"
"complexity,blocking,inverseDelay,free,timeComp1","0.8052470247869402"
"complexity,blocking,inverseDelay,free,timeComp2","0.8177399435232401"
"complexity,blocking,inverseDelay,timeComp1,timeComp2","0.8308370887803053"
"complexity,blocking,centrality,creditHours,free","0.9192138373088077"
"complexity,blocking,centrality,creditHours,timeComp1","0.9214322042708407"
"complexity,blocking,centrality,creditHours,timeComp2","0.9242377258413257"
"complexity,blocking,centrality,free,timeComp2","0.8240299480044142"
"complexity,blocking,centrality,timeComp1,timeComp2","0.8334382152932616"
"complexity,blocking,creditHours,free,timeComp1","0.913906804848658"
"complexity,blocking,creditHours,free,timeComp2","0.9200542917509639"
"complexity,blocking,creditHours,timeComp1,timeComp2","0.9185820512654645"
"complexity,blocking,free,timeComp1,timeComp2","0.8308173090441493"
"complexity,delay,inverseBlocking,inverseDelay,centrality","0.5325621696251228"
"complexity,delay,inverseBlocking,inverseDelay,free","0.5418683808722029"
"complexity,delay,inverseBlocking,inverseDelay,timeComp1","0.7922014997483613"
"complexity,delay,inverseBlocking,inverseDelay,timeComp2","0.8143855076796421"
"complexity,delay,inverseBlocking,centrality,creditHours","0.9192092495381475"
"complexity,delay,inverseBlocking,centrality,free","0.5090798068069002"
"complexity,delay,inverseBlocking,centrality,timeComp1","0.7921752507228785"
"complexity,delay,inverseBlocking,centrality,timeComp2","0.8187694296334874"
"complexity,delay,inverseBlocking,creditHours,free","0.9127654764977038"
"complexity,delay,inverseBlocking,creditHours,timeComp1","0.9139065568890589"
"complexity,delay,inverseBlocking,creditHours,timeComp2","0.9181858279859757"
"complexity,delay,inverseBlocking,free,timeComp1","0.8051249312052136"
"complexity,delay,inverseBlocking,free,timeComp2","0.8177399257070925"
"complexity,delay,inverseBlocking,timeComp1,timeComp2","0.8307794204339334"
"complexity,delay,inverseDelay,centrality,creditHours","0.9192986718185211"
"complexity,delay,inverseDelay,centrality,free","0.5453067839597083"
"complexity,delay,inverseDelay,centrality,timeComp1","0.7923043636676455"
"complexity,delay,inverseDelay,centrality,timeComp2","0.8187699386790368"
"complexity,delay,inverseDelay,creditHours,free","0.9129913635073299"
"complexity,delay,inverseDelay,creditHours,timeComp1","0.9143817460135151"
"complexity,delay,inverseDelay,creditHours,timeComp2","0.919095939588212"
"complexity,delay,inverseDelay,free,timeComp2","0.8177399435232401"
"complexity,delay,inverseDelay,timeComp1,timeComp2","0.8308370887803052"
"complexity,delay,centrality,creditHours,free","0.9192138373088076"
"complexity,delay,centrality,creditHours,timeComp1","0.9214322042708407"
"complexity,delay,centrality,creditHours,timeComp2","0.9242377258413257"
"complexity,delay,centrality,free,timeComp2","0.8240299480044142"
"complexity,delay,centrality,timeComp1,timeComp2","0.8334382152932616"
"complexity,delay,creditHours,free,timeComp1","0.913906804848658"
"complexity,delay,creditHours,free,timeComp2","0.9200542917509638"
"complexity,delay,creditHours,timeComp1,timeComp2","0.9185820512654645"
"complexity,delay,free,timeComp1,timeComp2","0.8308173090441493"
"complexity,inverseBlocking,inverseDelay,centrality,creditHours","0.9192986718185211"
"complexity,inverseBlocking,inverseDelay,centrality,free","0.5453067839597086"
"complexity,inverseBlocking,inverseDelay,centrality,timeComp1","0.7923043636676455"
"complexity,inverseBlocking,inverseDelay,centrality,timeComp2","0.8187699386790369"
"complexity,inverseBlocking,inverseDelay,creditHours,free","0.91299136350733"
"complexity,inverseBlocking,inverseDelay,creditHours,timeComp1","0.9143817460135151"
"complexity,inverseBlocking,inverseDelay,creditHours,timeComp2","0.919095939588212"
"complexity,inverseBlocking,inverseDelay,free,timeComp1","0.8052470247869402"
