"combinations","n","r2"
"complexity,blocking,delay,inverseDelay,timeComp1","5","0.791788328058828"
"complexity,blocking,delay,inverseDelay,timeComp2","5","0.815873889896112"
"complexity,blocking,delay,centrality,creditHours","5","0.9188793587439424"
"complexity,blocking,delay,centrality,free","5","0.5094513979577144"
"complexity,blocking,delay,centrality,timeComp1","5","0.7917296121152617"
"complexity,blocking,delay,centrality,timeComp2","5","0.8201788336240261"
"complexity,blocking,delay,creditHours,free","5","0.9126282124353206"
"complexity,blocking,delay,creditHours,timeComp1","5","0.9137506343575098"
"complexity,blocking,delay,creditHours,timeComp2","5","0.9174505230503879"
"complexity,blocking,delay,free,timeComp1","5","0.8051739860972826"
"complexity,blocking,delay,free,timeComp2","5","0.8190320759736818"
"complexity,blocking,delay,timeComp1,timeComp2","5","0.8315790655391092"
"complexity,blocking,inverseDelay,centrality,creditHours","5","0.9189796782819951"
"complexity,blocking,inverseDelay,centrality,free","5","0.5458663914790183"
"complexity,blocking,inverseDelay,centrality,timeComp1","5","0.7918733325688542"
"complexity,blocking,inverseDelay,centrality,timeComp2","5","0.8201794086262051"
"complexity,blocking,inverseDelay,creditHours,timeComp1","5","0.9142522387020328"
"complexity,blocking,inverseDelay,creditHours,timeComp2","5","0.9183448222873984"
"complexity,blocking,inverseDelay,free,timeComp1","5","0.8053090612331972"
"complexity,blocking,inverseDelay,free,timeComp2","5","0.8190320776068364"
"complexity,blocking,inverseDelay,timeComp1,timeComp2","5","0.8316325127741714"
"complexity,blocking,centrality,creditHours,free","5","0.9188793729136343"
"complexity,blocking,centrality,creditHours,timeComp1","5","0.9211324958647424"
"complexity,blocking,centrality,creditHours,timeComp2","5","0.9233910980298075"
"complexity,blocking,centrality,free,timeComp1","5","0.8052001484178559"
"complexity,blocking,centrality,free,timeComp2","5","0.8251726150350132"
"complexity,blocking,centrality,timeComp1,timeComp2","5","0.8342095354249822"
"complexity,blocking,creditHours,free,timeComp1","5","0.9137571311469864"
"complexity,blocking,creditHours,free,timeComp2","5","0.9193777466948838"
"complexity,blocking,creditHours,timeComp1,timeComp2","5","0.9178995071074192"
"complexity,delay,inverseBlocking,inverseDelay,centrality","5","0.5326207322241452"
"complexity,delay,inverseBlocking,inverseDelay,creditHours","5","0.9126864039980471"
"complexity,delay,inverseBlocking,inverseDelay,timeComp1","5","0.7917883280588279"
"complexity,delay,inverseBlocking,inverseDelay,timeComp2","5","0.815873889896112"
"complexity,delay,inverseBlocking,centrality,creditHours","5","0.9188793587439427"
"complexity,delay,inverseBlocking,centrality,free","5","0.5094513979577144"
"complexity,delay,inverseBlocking,centrality,timeComp1","5","0.7917296121152617"
"complexity,delay,inverseBlocking,centrality,timeComp2","5","0.8201788336240262"
"complexity,delay,inverseBlocking,creditHours,free","5","0.9126282124353207"
"complexity,delay,inverseBlocking,creditHours,timeComp1","5","0.9137506343575097"
"complexity,delay,inverseBlocking,creditHours,timeComp2","5","0.9174505230503879"
