"combinations","n","pMax","pAvg","r2"
"term_complexity,edges","2","0.852340226301298","0.28489494202096277","0.4440112247664"
"term_blocking,term_delay","2","0.0003857899394486797","0.00012859664689492565","0.7255899391519542"
"term_blocking,term_centrality","2","0.20605066246905257","0.06883192071135207","0.7240413041635161"
"term_blocking,free","2","0.12749414835316283","0.04249804945126288","0.6500295346395295"
"term_blocking,edges","2","0.00734582474772442","0.0024486082578327483","0.6903774264425482"
"term_delay,term_centrality","2","0.00036103448719678003","0.00012034482906559441","0.7883696478203173"
"term_delay,term_reachability","2","0.0003857899394485178","0.00012859664689487168","0.725589939151954"
"term_delay,free","2","0.9934321332018221","0.3315789806630642","0.33022020950640196"
"term_delay,edges","2","0.29476821946701537","0.1279460026062065","0.35058664061106415"
"term_centrality,term_reachability","2","0.206050662469049","0.06883192071135086","0.7240413041635165"
"term_centrality,free","2","0.14544714605352563","0.04848238201784188","0.727910158375866"
"term_centrality,edges","2","0.027029713161844295","0.009009904387282474","0.7468017870909864"
"term_reachability,free","2","0.12749414835316283","0.04249804945126288","0.6500295346395295"
"term_reachability,edges","2","0.00734582474772442","0.0024486082578327483","0.6903774264425482"
"free,edges","2","0.8776659535418274","0.29393702752692114","0.2974187678155341"
"credits,complexity,centrality","3","0.03896786895709196","0.009810117495442064","0.7503640953566696"
"credits,complexity,reachability","3","0.5467683128292827","0.13669930998769766","0.6879439526167979"
"credits,complexity,term_centrality","3","0.021350591970597382","0.006697581491127794","0.7857977466054897"
"credits,complexity,term_reachability","3","0.06510417034652549","0.02102260519136274","0.700361423415442"
"credits,complexity,free","3","0.9229271833116582","0.266711111733136","0.44606173753166833"
"credits,complexity,edges","3","0.8132216885063465","0.2403792471312982","0.446817508630343"
"credits,blocking,delay","3","0.5467683128292723","0.13669924090198224","0.6879439526167984"
"credits,blocking,centrality","3","0.022209302241541325","0.006427136772272865","0.7226437339015338"
"credits,blocking,term_delay","3","0.46945621775426827","0.11742414753403463","0.6615325593296459"
"credits,blocking,term_centrality","3","0.01183197290125582","0.004459081698733238","0.7848794223260693"
"credits,blocking,term_reachability","3","0.06513024198228468","0.029309653421026982","0.6835286312141987"
"credits,blocking,free","3","0.5253188070660106","0.17943763545217173","0.5328184191748848"
"credits,blocking,edges","3","0.13481671176748541","0.05876514654523035","0.5564469477343256"
"credits,delay,centrality","3","0.06499364437703144","0.01628565909027835","0.7562202373807037"
"credits,delay,reachability","3","0.546768312829329","0.13669924090199642","0.687943952616798"
"credits,delay,term_blocking","3","0.08247841688080573","0.023414743415413993","0.707279531431922"
"credits,delay,term_centrality","3","0.03108758207900847","0.009305614947580329","0.784678641788682"
"credits,delay,term_reachability","3","0.08247841688080573","0.023414743415413993","0.707279531431922"
"credits,delay,free","3","0.7402946000894274","0.21512643437940904","0.3775991408570759"
"credits,delay,edges","3","0.518569202402606","0.1905199552413338","0.38314865720531865"
