"combinations","n","pMax","pAvg","r2"
"blocking,free","2","0.6146129358973602","0.20489375751145814","0.4526409798331189"
"blocking,edges","2","0.6508996194116471","0.22418726438621714","0.45186095449582697"
"delay,centrality","2","0.08110282294921291","0.027050898703557452","0.5270765067486562"
"delay,reachability","2","0.00046390361079810626","0.00015483941965856838","0.5946645724617461"
"delay,term_blocking","2","0.2865486329041985","0.09558447035390231","0.5006903257232841"
"delay,term_centrality","2","0.4366198634722493","0.14555980644342023","0.5239039402239047"
"delay,term_reachability","2","0.2865486329041985","0.09558447035390231","0.5006903257232841"
"delay,free","2","0.19911375027810985","0.06945800794564293","0.3306834577238138"
"delay,edges","2","0.42494792294778616","0.15369155381975444","0.3784922511235671"
"centrality,reachability","2","0.8126583199664886","0.3100976180980541","0.48560433905897893"
"centrality,term_complexity","2","0.2683487345387392","0.09073922798327048","0.5026753345532233"
"centrality,term_blocking","2","0.4488158852681363","0.29285042607482364","0.4933034295454095"
"centrality,term_delay","2","0.12606730801913046","0.04205858381709627","0.5179358123365333"
"centrality,term_reachability","2","0.4488158852681363","0.29285042607482364","0.4933034295454095"
"centrality,free","2","0.5031102639224307","0.16770650170161525","0.49146083465538604"
"centrality,edges","2","0.5726918422387599","0.19231618890743574","0.48953192586092575"
"reachability,term_complexity","2","0.07706462496834386","0.027529205881500235","0.4949874101342151"
"reachability,term_blocking","2","0.8926934404129601","0.33918034552441273","0.48428695006216527"
"reachability,term_delay","2","0.0038404606701087883","0.0012837860997591103","0.5573662593846029"
"reachability,term_centrality","2","0.9684686520936762","0.33291365862875777","0.515452401714846"
"reachability,free","2","0.6146129358973602","0.20489375751145814","0.4526409798331189"
"reachability,edges","2","0.6508996194116471","0.22418726438621714","0.45186095449582697"
"term_complexity,term_centrality","2","0.3864293469837422","0.12922581645323034","0.5258904963081092"
"term_complexity,term_reachability","2","0.1637825628047555","0.05542774631550154","0.5118491747493807"
"term_complexity,free","2","0.6362294120255122","0.2125082660283388","0.3846699750927297"
"term_complexity,edges","2","0.2178313079653878","0.11551349912048343","0.4071029232970649"
"term_blocking,term_delay","2","0.16378256280474723","0.0546441681270411","0.5118491747493807"
"term_blocking,term_centrality","2","0.950629213184749","0.3626235239851077","0.5154847648594651"
"term_blocking,edges","2","0.8543393194310869","0.28655926335564913","0.48452191507310827"
"term_delay,term_centrality","2","0.3226709738192329","0.10757668102209628","0.5289801192943215"
"term_delay,term_reachability","2","0.16378256280474668","0.05464416812704092","0.511849174749381"
"term_delay,free","2","0.3922908050136668","0.13517193642897826","0.32012533112041375"
"term_delay,edges","2","0.39807148827440403","0.14716679801730975","0.3798807290033973"
"term_centrality,term_reachability","2","0.9506292131847583","0.36262352398511216","0.5154847648594654"
"term_centrality,free","2","0.6338386537631793","0.21128018497790899","0.5186423620757621"
"term_centrality,edges","2","0.5519602531048785","0.18430954201531344","0.5204208196170479"
"term_reachability,edges","2","0.8543393194310869","0.28655926335564913","0.48452191507310827"
"free,edges","2","0.5646650354907626","0.18889851600141846","0.37297263570507655"
"credits,complexity,centrality","3","0.003292097282652441","0.001408593453667918","0.867450884835208"
"credits,complexity,reachability","3","0.00013361023116114526","5.7622066221062154e-5","0.8469123821963208"
"credits,complexity,term_centrality","3","0.04971498902903612","0.0131291428108827","0.8828153797621991"
"credits,complexity,term_reachability","3","0.07987041085795718","0.02243591923060486","0.8474792820782142"
"credits,complexity,free","3","0.5408598861289801","0.15247795895967617","0.741488879308225"
"credits,complexity,edges","3","0.8783411058468128","0.2474769389053373","0.7387449913958868"
"credits,blocking,delay","3","0.00013361023116102518","5.729128416158082e-5","0.8469123821963211"
"credits,blocking,centrality","3","0.027034709905124812","0.010659732108260338","0.8543337426190891"
