"combinations","coefs","n","pMax","pAvg","r2"
"credits,reachability,free","2.3693823809183856,0.05939423480150589,0.006854724619451349,-0.0015031115176654722","3","0.8604980561868154","0.22225001033736283","0.7794347720225056"
"credits,reachability,edges","2.0477755914972957,0.06273587542183659,0.009433182804886552,-0.011549895516795099","3","0.17913526867505908","0.05555192767680855","0.790676341997267"
"credits,free,edges","2.6292636243395267,0.05879410838619056,-0.009267040603997596,0.017123942060993016","3","0.39311535621794885","0.11362214627067822","0.6739381910834457"
"complexity,centrality,reachability","10.176547646885458,-0.01630851752104102,0.0001641700994800815,0.04357909149981309","3","0.9291590917734304","0.23503768067442043","0.5947616297865137"
"complexity,centrality,free","10.169959429028088,-0.0033929734937821485,0.003914034761334155,-0.011675126470362507","3","0.342745771726678","0.123239751457322","0.521770422131307"
"complexity,centrality,edges","9.671704069114602,-0.0038273688375768658,0.003746147440971565,0.012295900798853279","3","0.2853486326202601","0.10110946426729635","0.5251504433992741"
"complexity,reachability,free","10.205763166568445,-0.016488089092067545,0.044509204265559967,-0.0009022491885994967","3","0.9383940486374228","0.23477480923996955","0.5947379311642693"
"complexity,reachability,edges","10.269684876717916,-0.01719600138145521,0.04735442813624919,-0.005587183405888261","3","0.6395465509261512","0.16004104827309137","0.5973408610310071"
"blocking,delay,centrality","10.176547646885458,0.027270573978772125,-0.016308517521041035,0.00016417009948007123","3","0.9291590917734349","0.2377290230943598","0.5947616297865128"
"blocking,delay,free","10.205763166568444,0.028021115173492386,-0.01648808909206752,-0.0009022491885994412","3","0.9383940486374267","0.23476688649248267","0.5947379311642691"
"blocking,delay,edges","10.269684876717779,0.030158426754790343,-0.01719600138145274,-0.0055871834058851206","3","0.6395465509263395","0.16003097523692267","0.5973408610310071"
"blocking,centrality,free","9.916837687361516,-0.0034969939339635605,0.0030385919297426173,-0.010120518594170425","3","0.6408792508105439","0.2941147218347751","0.4947920546839434"
