"combinations","coefs","n","pMax","pAvg","r2"
"credits,blocking,delay","213.21169024389206,-1.1575482078315218,-0.5338462396355341,0.2766095132388661","3","0.0014696253086969122","0.00036752999539241954","0.8023860327495"
"credits,blocking,centrality","249.70566012449606,-1.3948445627092083,0.13675261093983243,-0.08966846505584082","3","0.2175423493698186","0.05469742012524412","0.8037321321778336"
"credits,blocking,reachability","242.75994674315731,-1.3023033117347258,-0.08460323652111396,-0.12499999999999953","3","0.999999955400733","0.49999998096094067","0.7435882338587627"
"credits,blocking,free","244.57125406841052,-1.305875655734811,-0.21355128108885993,-0.04329858899490017","3","0.8547206011678468","0.21368016682496555","0.7438408152688648"
"credits,blocking,edges","249.46769221273055,-1.3857628325521008,-0.2741116705753,0.30503014354080976","3","0.19569720677588145","0.04892510292658957","0.7556216938352208"
"credits,delay,centrality","239.24022838489026,-1.3425157468952438,0.09831212575757788,-0.08333233807232651","3","0.04972578225882146","0.012431457415461283","0.8158148159387324"
"credits,delay,reachability","213.21169024389158,-1.1575482078315162,0.276609513238863,-0.5338462396355308","3","0.0014696253086970686","0.00036752999539245863","0.8023860327495002"
"credits,delay,free","255.79143254808315,-1.425462431084771,-0.13422546929495138,0.18270072863239192","3","0.48578409423308716","0.12148013599245623","0.6591407129890783"
"credits,delay,edges","257.5660304013629,-1.3806913228985556,-0.11865057957338003,-0.1747264636897364","3","0.45887792541432887","0.11829147387437597","0.6597601007482077"
"credits,centrality,reachability","249.70566012449612,-1.3948445627092088,-0.08966846505584086,0.13675261093983263","3","0.21754234936981737","0.054697420125243805","0.8037321321778337"
"credits,centrality,free","247.52985245650856,-1.3492155204285425,-0.057442779159182104,-0.04314762229718321","3","0.8335556236512534","0.20838890594928727","0.7952208345548026"
"credits,centrality,edges","254.18465026477136,-1.4504876992549314,-0.07155986610429776,0.29803261670788983","3","0.1116116371992402","0.02790290955263696","0.8091624462739848"
"credits,reachability,free","244.57125406841052,-1.305875655734811,-0.21355128108885993,-0.04329858899490017","3","0.8547206011678468","0.21368016682496555","0.7438408152688648"
"credits,reachability,edges","249.46769221273055,-1.3857628325521008,-0.2741116705753,0.30503014354080976","3","0.19569720677588145","0.04892510292658957","0.7556216938352208"
"credits,free,edges","237.27844513886797,-1.2815240948203108,0.16138981884902104,-0.5603603336209967","3","0.6019104323037083","0.15188493005968484","0.6028726701474503"
"complexity,centrality,reachability","69.62997776639656,0.3755778642832012,-0.0018074379376664205,-1.0574135830051097","3","0.967210678991161","0.24546439373216616","0.6293539931202232"
