"combinations","n","r2"
"complexity,delay,centrality,free","4","0.5308509558562635"
"complexity,delay,centrality,timeComp1","4","0.875293179215074"
"complexity,delay,centrality,timeComp2","4","0.9006623956468959"
"complexity,delay,creditHours,free","4","0.9795245176576044"
"complexity,delay,creditHours,timeComp1","4","0.9796734843454501"
"complexity,delay,creditHours,timeComp2","4","0.9795917320941591"
"complexity,delay,free,timeComp1","4","0.8867723860726584"
"complexity,delay,free,timeComp2","4","0.9060541712338595"
"complexity,delay,timeComp1,timeComp2","4","0.9209035893026227"
"complexity,inverseBlocking,inverseDelay,centrality","4","0.5682201571331911"
"complexity,inverseBlocking,inverseDelay,creditHours","4","0.9813153996949162"
"complexity,inverseBlocking,inverseDelay,free","4","0.5677056114499499"
"complexity,inverseBlocking,inverseDelay,timeComp1","4","0.8737537297062489"
"complexity,inverseBlocking,inverseDelay,timeComp2","4","0.9011613208112489"
"complexity,inverseBlocking,centrality,creditHours","4","0.9799188785542539"
"complexity,inverseBlocking,centrality,free","4","0.5308509558562637"
"complexity,inverseBlocking,centrality,timeComp1","4","0.875293179215074"
"complexity,inverseBlocking,centrality,timeComp2","4","0.9006623956468959"
"complexity,inverseBlocking,creditHours,free","4","0.9795245176576044"
"complexity,inverseBlocking,creditHours,timeComp1","4","0.9796734843454501"
"complexity,inverseBlocking,free,timeComp1","4","0.8867723860726584"
"complexity,inverseBlocking,free,timeComp2","4","0.9060541712338595"
"complexity,inverseBlocking,timeComp1,timeComp2","4","0.9209035893026227"
"complexity,inverseDelay,centrality,creditHours","4","0.9810731787209236"
"complexity,inverseDelay,centrality,free","4","0.5781614854675587"
"complexity,inverseDelay,centrality,timeComp1","4","0.8754908657716719"
"complexity,inverseDelay,centrality,timeComp2","4","0.8953995213632059"
"complexity,inverseDelay,creditHours,free","4","0.9772540918593096"
"complexity,inverseDelay,creditHours,timeComp1","4","0.9774402271209204"
"complexity,inverseDelay,creditHours,timeComp2","4","0.9790620482554815"
"complexity,inverseDelay,free,timeComp1","4","0.8873608273702511"
"complexity,inverseDelay,free,timeComp2","4","0.8931483448419923"
"complexity,inverseDelay,timeComp1,timeComp2","4","0.9143815976647841"
